,image,label
128,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1223.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1223.tif
129,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1225.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1225.tif
130,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1226.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1226.tif
131,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1227.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1227.tif
132,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1228.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1228.tif
133,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1230.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1230.tif
134,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1238.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1238.tif
136,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img124.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img124.tif
138,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1242.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1242.tif
139,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1244.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1244.tif
140,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1245.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1245.tif
141,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1246.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1246.tif
142,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1247.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1247.tif
145,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1255.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1255.tif
146,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1257.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1257.tif
147,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1258.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1258.tif
148,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1259.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1259.tif
149,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1261.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1261.tif
151,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1267.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1267.tif
153,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1274.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1274.tif
154,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1275.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1275.tif
155,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1276.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1276.tif
156,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1281.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1281.tif
157,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1283.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1283.tif
158,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1284.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1284.tif
159,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1287.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1287.tif
160,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1288.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1288.tif
161,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img129.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img129.tif
162,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1292.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1292.tif
163,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1293.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1293.tif
165,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1295.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1295.tif
166,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img13.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img13.tif
168,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1301.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1301.tif
171,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1308.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1308.tif
175,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img132.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img132.tif
176,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1322.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1322.tif
177,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1323.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1323.tif
178,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1324.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1324.tif
179,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1325.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1325.tif
181,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1334.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1334.tif
182,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1336.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1336.tif
183,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1339.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1339.tif
184,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1341.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1341.tif
186,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img135.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img135.tif
187,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1350.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1350.tif
190,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1358.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1358.tif
192,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img136.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img136.tif
193,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1366.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1366.tif
194,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1367.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1367.tif
195,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1369.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1369.tif
